2740 24944
772 After 4
773 moved 11
774 far 9
775 across 7
776 balance 1
777 rocked 1
778 ten 2
779 final 1
780 decision 4
781 Then 14
782 ring 1
783 flat 20
784 someone 5
785 froze 2
786 danced 1
787 around 20
788 remained 11
789 quiet 10
790 They 22
791 're 11
792 caught 3
793 nonsensical 1
794 course 15
795 firm 3
796 steps 5
797 opened 16
798 needed 8
799 hear 13
800 visitor 2
801 greeting 1
802 knew 8
803 chief 37
804 clerk 37
805 Why 2
806 condemned 1
807 immediately 16
808 highly 4
809 shortcoming 1
810 Were 1
811 employees 4
812 every 12
813 louts 1
814 faithful 1
815 devoted 1
816 pangs 1
817 conscience 1
818 spend 3
819 least 11
820 couple 2
821 hours 8
822 Was 3
823 trainees 1
824 enquiries 2
825 assuming 1
826 necessary 5
827 show 5
828 innocent 2
829 trusted 1
830 wisdom 1
831 investigate 1
832 upset 3
833 thump 1
834 wasn't 1
835 softened 1
836 also 15
837 elastic 1
838 sound 7
839 muffled 1
840 noticeable 1
841 held 14
842 annoyed 4
843 rubbed 2
844 Something 1
845 fallen 4
846 left 31
847 concede 1
848 gruff 1
849 reply 2
850 question 7
851 footsteps 1
852 polished 2
853 boots 2
854 adjoining 1
855 From 3
856 here 19
857 daring 1
858 has 4
859 wants 3
860 why 7
861 leave 11
862 We 7
863 say 18
864 anyway 5
865 speak 8
866 personally 1
867 please 5
868 I'm 3
869 sure 6
870 good 18
871 forgive 1
872 untidiness 1
873 Good 1
874 Mr. 22
875 isn't 1
876 continued 2
877 believe 2
878 else 8
879 missed 1
880 lad 1
881 thinks 1
882 nearly 8
883 cross 1
884 goes 1
885 evenings 4
886 town 3
887 week 2
888 stayed 5
889 evening 18
890 sits 1
891 us 11
892 kitchen 11
893 reads 1
894 paper 2
895 studies 1
896 timetables 1
897 idea 5
898 relaxation 2
899 working 4
900 fretsaw 2
901 two 26
902 three 25
903 amazed 4
904 hanging 2
905 opens 1
906 Anyway 1
907 glad 5
908 we 27
909 wouldn't 1
910 ourselves 2
911 stubborn 2
912 thoughtfully 1
913 miss 1
914 explaining 3
915 Mrs. 10
916 it's 2
917 hand 22
918 commerce 1
919 unwell 2
920 fortunately 2
921 simply 7
922 considerations 1
923 Can 1
924 asked 16
925 impatiently 1
926 No 3
927 In 9
928 silence 3
929 cry 2
930 join 1
931 She 25
932 begun 1
933 she 174
934 crying 3
935 danger 2
936 losing 1
937 job 8
938 pursue 1
939 demands 1
940 worry 4
941 intention 3
942 abandoning 2
943 condition 8
944 seriously 5
945 minor 1
946 discourtesy 1
947 suitable 3
948 excuse 2
949 sacked 2
950 disturbing 1
951 happening 4
952 worried 2
953 behaviour 3
954 barricade 1
955 yourself 2
956 causing 3
957 unnecessary 1
958 fail 2
959 mention 1
960 duties 1
961 unheard 2
962 speaking 5
963 behalf 2
964 employer 3
965 request 1
966 clear 11
967 immediate 3
968 am 2
969 astonished 4
970 person 2
971 suddenly 9
972 seem 4
973 showing 2
974 peculiar 1
975 whims 1
976 suggest 1
977 reason 12
978 failure 2
979 appear 2
980 true 2
981 entrusted 1
982 giving 3
983 honour 1
984 incomprehensible 1
985 stubbornness 2
986 wish 3
987 whatsoever 1
988 intercede 1
989 nor 2
990 secure 1
991 originally 1
992 intended 2
993 private 1
994 since 9
995 cause 2
996 waste 3
997 learn 3
998 Your 1
999 turnover 1
1000 unsatisfactory 1
1001 late 5
1002 grant 2
1003 year 6
1004 recognise 1
1005 allow 1
1006 Sir 1
1007 beside 5
1008 forgetting 2
1009 excitement 1
1010 attack 2
1011 dizziness 1
1012 Just 5
1013 Be 1
1014 easy 7
1015 alright 4
1016 It's 1
1017 shocking 3
1018 symptom 1
1019 illness 1
1020 staying 2
1021 Please 3
1022 suffer 3
1023 basis 1
1024 accusations 1
1025 nobody 5
1026 Maybe 3
1027 read 1
1028 latest 1
1029 contracts 1
1030 sent 3
1031 eight 2
1032 few 10
1033 strength 7
1034 wait 5
1035 sir 2
1036 recommend 1
1037 gushed 1
1038 knowing 7
1039 practise 1
1040 insistent 2
1041 curious 2
1042 sight 7
1043 Gregor's 9
1044 responsibility 1
1045 calmly 3
1046 hurried 8
1047 station 1
1048 climb 2
1049 smooth 1
1050 gave 6
1051 swing 2
1052 stood 14
1053 attention 14
1054 Now 13
1055 nearby 1
1056 chair 16
1057 tightly 2
1058 edges 1
1059 By 2
1060 calmed 2
1061 listen 5
1062 understand 12
1063 surely 2
1064 fools 1
1065 tears 9
1066 Grete 25
1067 cried 2
1068 Mother 3
1069 communicated 1
1070 straight 18
1071 Quick 1
1072 spoke 2
1073 animal 4
1074 calmness 1
1075 contrast 3
1076 mother's 1
1077 screams 1
1078 Anna 2
1079 entrance 4
1080 hall 7
1081 clapping 1
1082 locksmith 4
1083 girls 1
1084 skirts 4
1085 swishing 1
1086 ran 11
1087 wrenching 1
1088 front 17
1089 banging 1
1090 homes 1
1091 awful 1
1092 calmer 1
1093 couldn't 1
1094 clearer 1
1095 ears 1
1096 realised 9
1097 response 1
1098 situation 4
1099 confident 1
1100 wise 1
1101 drawn 2
1102 among 1
1103 great 10
1104 surprising 2
1105 achievements 1
1106 distinguish 1
1107 Whatever 2
1108 crucial 1
1109 coughed 1
1110 taking 9
1111 care 1
1112 loudly 5
1113 coughs 1
1114 judge 2
1115 Meanwhile 3
1116 Perhaps 3
1117 whispering 2
1118 pressed 14
1119 listening 6
1120 Once 3
1121 holding 5
1122 using 5
1123 adhesive 2
1124 tips 1
1125 rested 2
1126 recover 1
1127 involved 1
1128 key 11
1129 lock 8
1130 mouth 8
1131 teeth 4
1132 grasp 2
1133 lack 4
1134 jaw 2
1135 start 5
1136 ignoring 2
1137 kind 7
1138 damage 2
1139 fluid 1
1140 flowed 3
1141 dripped 1
1142 Listen 1
1143 greatly 1
1144 encouraged 1
1145 calling 1
1146 hold 6
1147 excitedly 2
1148 following 3
1149 efforts 3
1150 paying 1
1151 snapped 1
1152 break 4
1153 concentration 2
1154 regained 1
1155 breath 7
1156 handle 2
1157 Because 2
1158 wide 4
1159 turn 10
1160 double 2
1161 entering 2
1162 occupied 3
1163 movement 4
1164 exclaim 1
1165 sounded 2
1166 soughing 1
1167 wind 1
1168 nearest 1
1169 retreating 1
1170 driven 2
1171 steady 2
1172 invisible 1
1173 hair 3
1174 dishevelled 1
1175 unfolded 2
1176 sank 2
1177 disappeared 5
1178 breast 1
1179 hostile 1
1180 clenched 1
1181 fists 2
1182 wanting 2
1183 uncertainly 1
1184 living 18
1185 wept 1
1186 powerful 1
1187 shook 2
1188 leant 7
1189 bolted 2
1190 along 5
1191 peered 1
1192 lighter 1
1193 endless 1
1194 grey-black 1
1195 building 1
1196 hospital 2
1197 austere 1
1198 regular 1
1199 line 3
1200 windows 2
1201 piercing 2
1202 facade 1
1203 throwing 1
1204 large 3
1205 droplets 1
1206 ground 7
1207 washing 2
1208 important 3
1209 meal 6
1210 several 8
1211 reading 4
1212 number 1
1213 newspapers 2
1214 On 5
1215 wall 5
1216 exactly 4
1217 opposite 2
1218 photograph 1
1219 lieutenant 1
1220 army 1
1221 sword 1
1222 carefree 1
1223 face 14
1224 respect 4
1225 uniform 8
1226 bearing 1
1227 landing 6
1228 stairs 2
1229 below 2
1230 pack 1
1231 Will 2
1232 commercial 1
1233 traveller 1
1234 arduous 1
1235 earn 6
1236 going 9
1237 accurately 1
1238 temporarily 1
1239 remember 3
1240 achieved 2
